SK_ID_CURR,TARGET
184363,1.0
175377,0.0
191126,1.0
233859,0.0
238325,0.0
334146,0.0
309884,0.0
111432,0.0
303421,0.0
386645,0.0
424728,0.0
275571,0.0
161976,0.0
324346,0.0
382795,0.0
345654,0.0
247329,0.0
210110,0.0
144864,0.0
358141,1.0
204185,0.0
381596,1.0
341286,0.0
387196,0.0
370615,0.0
417868,0.0
234134,0.0
289152,0.0
303949,0.0
129913,0.0
404098,0.0
330476,0.0
229918,0.0
195259,0.0
285582,0.0
320913,0.0
120546,1.0
138870,0.0
435064,0.0
370200,0.0
259688,0.0
354059,1.0
163279,0.0
192568,0.0
247079,0.0
178298,1.0
159510,0.0
344481,0.0
194482,0.0
428735,0.0
335320,0.0
133735,0.0
172001,0.0
217269,0.0
115205,0.0
379531,0.0
209038,0.0
429180,0.0
271020,0.0
209015,0.0
202570,0.0
263848,0.0
180492,0.0
189155,0.0
209530,0.0
302135,0.0
314953,0.0
397367,0.0
450181,0.0
326148,0.0
274896,0.0
211725,0.0
190625,0.0
128644,0.0
115752,0.0
102998,0.0
189427,1.0
198695,0.0
242344,0.0
447283,0.0
390986,0.0
323776,0.0
195688,0.0
397638,0.0
291587,0.0
421420,0.0
105300,0.0
149116,0.0
334356,0.0
113571,0.0
160695,0.0
428471,0.0
257028,0.0
227423,0.0
298978,1.0
309607,1.0
299655,0.0
194331,0.0
354959,0.0
128079,0.0
289756,0.0
423680,0.0
417731,0.0
123527,0.0
141748,0.0
424930,0.0
437270,0.0
104793,0.0
376459,0.0
375104,0.0
224717,0.0
227727,0.0
442048,0.0
101145,0.0
144450,1.0
369627,0.0
445239,0.0
359553,0.0
329595,0.0
103066,0.0
445360,0.0
370900,0.0
195356,0.0
134283,1.0
354147,0.0
391031,1.0
340284,0.0
328844,0.0
294362,0.0
351851,0.0
125482,1.0
413328,0.0
410235,0.0
161884,0.0
277653,0.0
388338,0.0
445543,0.0
453413,0.0
151273,0.0
322059,0.0
229916,0.0
361040,0.0
147196,0.0
294847,0.0
270786,0.0
389003,0.0
264584,0.0
287515,0.0
